iYrCnt,npt,veg%iveg,casamet%lat,casamet%lon,casamet%areacell,mimicspool%LITm,mimicspool%LITs,mimicspool%MICr,mimicspool%MICk,mimicspool%SOMa,mimicspool%SOMc,mimicspool%SOMp
     1,     133,      10,       14.2100000000,       10.0000000000,       56.7769702400,        0.3551342919,        1.0408560775,        0.0699661114,        0.0728573400,        0.6712090640,        1.2415573847,        0.1763886251,
     1,     134,      16,       16.1100000000,       10.0000000000,       56.2705448960,        0.1427785226,        0.5933753405,        0.0232502492,        0.0305141617,        0.2644505517,        0.9027101906,        0.0223513482,
     1,     135,      16,       18.0000000000,       10.0000000000,       55.7025894400,        0.0019051469,        0.1007471697,        0.0000000000,        0.0000000000,        0.3276318805,        0.8184410130,        0.0000000000,
     1,     136,      16,       19.8900000000,       10.0000000000,       55.0737264640,        0.0021816803,        0.0891240043,        0.0000000000,        0.0000000000,        0.4412861412,        0.8055926581,        0.0000000000,
     1,     137,      16,       21.7900000000,       10.0000000000,       54.3846359040,        0.0040741441,        0.1335465008,        0.0000000000,        0.0000000000,        0.4562786248,        0.8455455656,        0.0000000000,
     1,     138,      16,       23.6800000000,       10.0000000000,       53.6360837120,        0.0427005106,        0.1606232814,        0.0000000000,        0.0000000000,        0.5583548310,        0.8657544072,        0.0000027547,
     1,     139,      16,       25.5800000000,       10.0000000000,       52.8288768000,        0.0326995309,        0.1233127466,        0.0000000000,        0.0000000000,        0.4822392365,        0.8185739205,        0.0000024812,
     1,     140,      16,       27.4700000000,       10.0000000000,       51.9639040000,        0.0056371775,        0.1360863194,        0.0000000000,        0.0000000000,        0.4906691197,        0.8572581373,        0.0000000000,
     1,     141,      16,       29.3700000000,       10.0000000000,       51.0421073920,        0.0076656489,        0.1028402651,        0.0000000000,        0.0000000000,        0.5332720988,        0.8338887256,        0.0000001461,
     1,     142,      16,       31.2600000000,       10.0000000000,       50.0644986880,        0.1673618075,        0.5583673977,        0.0002763581,        0.0001894639,        0.2531715869,        0.9608087055,        0.0005635716,
     1,     143,      16,       33.1600000000,       10.0000000000,       41.1275141120,        0.1651251048,        0.5473818533,        0.0010781856,        0.0018419933,        0.5022392649,        1.0424863278,        0.0172318067,
     1,     144,      17,       35.0500000000,       10.0000000000,       37.6972206080,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     145,      17,       36.9500000000,       10.0000000000,       22.2541209600,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,     146,      17,       38.8400000000,       10.0000000000,        6.8365537280,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
